Instance,MD5,Doug Hains (disqualified),MIPSat,MIPSat,glue_bit,gluebit_lgl,GlucoRed,Nigma,Nigma-NoPB,Solver43a,Solver43b,forl,strangenight,relback,gluH,ZENN,SAT4J,CSHCapplLG,CSHCapplLC,Riss3g,satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,minipure,glucose,glueminisat,Riss3g,sattimeRelbackShr,RSeq
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,5d1253e2dcc0e3e55992672756beadbc,5000.0,5000.0,2672.73,5000.0,5000.0,5000.0,5000.0,5000.0,3652.86,5000.0,2226.42,3021.38,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3597.13,5000.0,4825.86,1972.06,1931.58,5000.0,5000.0,5000.0,5000.0,1538.4,3378.2,5000.0,5000.0
hitag2-8-60-0-0x880693399044612-25-SAT.cnf,aeee00b058006df18ef300029383e8fc,5000.0,5000.0,5000.0,5000.0,445.922,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2933.45,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3789.06,5000.0,5000.0,5000.0,5000.0,1375.15,1683.5,5000.0,5000.0,5000.0,5000.0,5000.0
008.cnf,c3eb13d8aedb9b4ded99ace1c9b7c988,3945.58,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2512.73,2380.2,5000.0,5000.0,5000.0,5000.0,5000.0,2021.41,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
slp-synthesis-aes-top26.cnf,7ecd2f8efd83504268f0a96fa44f6fe7,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3692.94,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
aes_32_3_keyfind_1.cnf,278d646386a62d4f28f7fc390c5eab3e,2125.18,2630.34,4131.0,4115.95,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,275.798,2378.42,5000.0,1957.49,5000.0,1269.94,48.1797,5000.0,738.137,739.489,1591.36,590.773,246.588,248.315,5000.0,573.874,51.2782,2059.71
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf,fce318b20c1a474ab81b77594d3f6f99,5000.0,2305.12,3060.19,4206.27,481.085,3254.57,5000.0,4502.87,3597.85,1586.73,612.053,1325.11,1588.0,866.37,3391.66,5000.0,5000.0,5000.0,917.539,5000.0,1034.75,1203.27,1227.22,5000.0,3354.99,5000.0,1141.95,683.209,1565.54,5000.0,2191.81
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf,c6d3480970bb2819448dd0a800a3cf1c,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4533.56,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2086.66,5000.0,5000.0
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,0176f3dd09fed1b561c875e1d6538c8d,383.03,157.107,1696.9,114.147,368.868,1575.4,1795.78,327.645,229.689,405.117,858.005,5000.0,481.497,336.449,1588.49,5000.0,1088.41,5000.0,328.545,125.426,462.753,117.429,125.002,1950.5,261.113,5000.0,230.067,1880.8,276.974,5000.0,1310.83
transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-SAT.cnf,74e0fa52e4789615985c73d0a8b105b4,841.345,658.054,949.915,291.878,279.128,1466.72,696.696,850.882,1231.66,287.386,933.887,525.182,448.207,387.191,114.947,5000.0,877.156,5000.0,71.9481,29.9544,341.951,421.431,421.935,4351.11,2435.87,5000.0,399.566,369.666,769.614,5000.0,1611.89
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.040-NOTKNOWN.cnf,ce0d180356398dfbcfd2bbbb1cb3f9e5,1417.17,2359.35,5000.0,625.894,634.197,4140.52,5000.0,5000.0,4707.22,4644.18,5000.0,5000.0,1603.11,5000.0,5000.0,5000.0,3331.65,5000.0,801.457,5000.0,5000.0,4397.39,4450.15,5000.0,5000.0,5000.0,4309.41,3967.71,4723.81,5000.0,2199.2
