Instance,MD5,Sparrow+CP3,CCAnr,Doug Hains,MIPSat,BalancedZ,SparrowToRiss (not competing),dk-SAT11,march_br,gluebit_clasp,clasp_vflip,GlucoRed,Solver43a,Solver43b,forl,strangenight,relback (not competing),gluH,ZENN,MIPSat (not competing),MIPSat (not competing),SAT4J,CSHCcombCS,gNovelty+GCa,gNovelty+GCwa,Riss3g (not competing),satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,sattime2013,minipure,glucose,glueminisat,Riss3g (not competing),sattimeRelbackSeq (not competing),sattimeClasp,sattimeRelbackShr (not competing),RSeq (not competing)
sgen3-n240-s78945233-sat.cnf,1f90ac4288669aff970e47f4201b5ea4,31.6092,59.466,5000.0,115.629,5000.0,82.1015,3182.2,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3.85241,3.77243,5000.0,473.02,3740.1,115.365,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,150.447,5000.0,5000.0,5000.0,5000.0,113.722,113.329,177.421,112.222
sgen3-n140-s18527668-sat.cnf,d6f66d406779966e0b3cbed9097980e3,0.104983,1.51677,0.25296,0.823874,9.34758,0.464928,5.20621,1.92871,27.2349,0.304952,5000.0,122.1,2670.71,4718.84,692.27,148.971,75.9804,131.617,0.689894,0.659899,269.327,92.6919,0.938857,15.6486,450.062,36.3405,3524.6,286.716,287.771,377.95,190.07,0.301954,0.149976,244.509,2222.05,729.585,0.093985,0.094985,0.063989,0.094985
rbsat-v945c61409g7.cnf,cffaf116c6c0eb21439a109753d19c34,10.1984,112.009,1948.98,2.10468,206.206,5.45517,125.015,2680.95,1164.42,27.6498,5000.0,1838.34,3725.35,602.888,3169.22,293.575,167.716,5000.0,68.0157,67.8347,5000.0,462.013,213.518,207.428,5000.0,3972.64,1719.62,65.541,65.649,5000.0,5000.0,1.39379,5000.0,2002.96,3507.27,534.853,3.21851,3.23551,17.1144,3.22151
mod4block_2vars_10gates_u2_autoenc.cnf,a4aa05bad2a3138b013cb1793208898f,5000.0,5000.0,163.14,5000.0,5000.0,5000.0,5000.0,5000.0,3629.38,4325.25,2810.59,2687.49,2282.92,5000.0,5000.0,1040.14,5000.0,5000.0,5000.0,2330.35,1343.55,5000.0,5000.0,5000.0,3075.64,5000.0,4596.14,5000.0,5000.0,354.507,4428.35,5000.0,93.8157,2639.94,3235.73,5000.0,3543.02,5000.0,2901.64,4221.56
Q3inK10.cnf,0d32a4893e12fa46a8943c5daeb46b88,13.7449,0.214967,3.61845,611.021,0.18897,13.7439,4.92625,2.6126,0.399938,14.2228,8.5327,19.758,19.627,11.7192,10.1984,0.270958,0.277957,8.71667,662.028,604.482,1.35379,579.071,0.195969,0.198968,13.7669,0.375942,8.85165,11.3513,27.4948,0.693894,0.408936,633.728,10.5734,8.50071,8.70068,109.368,636.702,633.257,591.538,633.563
rbsat-v945c61409gyes2.cnf,280a865808b90888947964c820f49e8d,5.79612,180.549,1821.08,40.1939,379.348,1.72874,5000.0,1376.4,1427.73,89.2104,5000.0,611.853,501.123,730.747,2224.22,519.196,1970.36,557.633,60.4788,60.4848,5000.0,435.544,25.7891,225.049,3089.33,663.306,5000.0,5000.0,5000.0,2115.43,589.861,25.1472,4876.66,4311.31,998.549,1032.18,12.0742,11.9372,43.8723,12.0742
battleship-13-25-sat.cnf,cb11d19896d9616291a4869debb8ac0d,0.030994,0.005998,5000.0,0.071989,0.007998,0.047991,742.449,67.1758,1051.79,0.023995,5000.0,5000.0,2535.5,5000.0,5000.0,5000.0,5000.0,5000.0,0.108982,0.097984,5000.0,408.425,0.004998,0.004998,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,326.871,0.019996,5000.0,5000.0,5000.0,5000.0,0.016997,0.016996,0.015997,0.019996
rbsat-v945c61409gyes4.cnf,49e72032349bc48537bde006f6571c3f,18.2512,139.166,5000.0,10.6644,38.7381,10.9533,5000.0,5000.0,5000.0,153.855,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,18.9451,18.9671,5000.0,462.068,142.669,121.349,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,10.0735,5000.0,5000.0,5000.0,5000.0,34.9617,35.1856,52.0651,34.9767
p160_2.cnf,0eefe442f12ec3d404bb9b1ff73c7bd3,95.4535,14.5388,5000.0,52.358,5000.0,117.632,5000.0,5000.0,5000.0,241.033,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,80.7337,78.1171,5000.0,61.4687,928.284,221.056,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,91.814,5000.0,5000.0,5000.0,5000.0,25.1382,25.2282,245.815,25.1072
p160_1.cnf,3074daeacdc3c4104adcdcb47eab62d5,755.437,6.62899,5000.0,183.815,3752.42,129.324,5000.0,5000.0,5000.0,147.221,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,320.12,201.793,203.082,5000.0,254.931,64.4192,146.385,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,21.3967,5000.0,5000.0,5000.0,5000.0,217.815,218.075,47.9417,217.872
