Instance,MD5,glue_bit,gluebit_lgl,GlucoRed,Nigma,Nigma-NoPB,Solver43a,Solver43b,forl,strangenight,relback (not competing),gluH,ZENN,MIPSat,SAT4J,CSHCapplLG,CSHCapplLC,Riss3g,satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,minipure,glucose,glueminisat,Riss3g,sattimeRelbackShr,RSeq
smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,ee9a3768141236efcc4a858e8f92a7e9,0.314952,2.85157,1.24181,5000.0,5000.0,5000.0,5000.0,84.3012,44.8072,0.314951,0.356945,67.6177,42.8685,5000.0,10.4944,50.1704,5000.0,0.374942,5000.0,5000.0,5000.0,3.80942,1.38679,5000.0,5000.0,5000.0,5000.0,443.407,858.37
smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,a78f49949ed32c6f8eea9d5e428c909d,41.6327,46.8019,5.32819,13.471,12.6291,97.3982,104.823,307.267,175.722,911.722,923.933,6.12407,941.938,1123.21,968.161,580.903,7.03793,1264.87,10.7004,10.1115,10.4114,70.6353,42.6325,4.03239,5.03423,5.47617,6.08108,1543.89,1197.5
hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,9059f458d76edcc4dc5681746a6de6e5,545.176,728.709,804.032,857.683,701.892,1179.61,854.908,402.3,306.282,745.663,551.264,664.104,223.246,5000.0,822.913,328.686,604.564,1604.48,1089.4,777.954,825.117,377.962,438.028,5000.0,595.317,482.946,748.72,5000.0,4780.74
hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,3fad4722cb319d6fee4192f2fe2c31ed,313.638,293.212,260.041,479.126,501.487,330.528,248.399,166.066,218.981,176.901,270.329,317.663,216.691,5000.0,327.673,275.712,175.104,1031.07,321.375,251.094,256.602,171.551,275.42,5000.0,199.878,253.756,271.126,1594.48,1462.67
hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin.cnf,a4c7dbdc89378b1335eea4904f9f5cb5,379.874,338.654,374.083,806.025,790.726,555.118,467.569,270.73,171.494,272.391,274.191,318.676,168.041,5000.0,234.674,200.043,234.477,4036.76,321.488,339.598,348.17,174.456,258.996,5000.0,327.126,203.315,448.355,1897.19,1500.4
hitag2-8-60-0-0x880693399044612-25-SAT.cnf,aeee00b058006df18ef300029383e8fc,5000.0,445.922,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2933.45,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3789.06,5000.0,5000.0,5000.0,5000.0,1375.15,1683.5,5000.0,5000.0,5000.0,5000.0,5000.0
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,5d1253e2dcc0e3e55992672756beadbc,5000.0,5000.0,5000.0,5000.0,5000.0,3652.86,5000.0,2226.42,3021.38,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3597.13,5000.0,4825.86,1972.06,1931.58,5000.0,5000.0,5000.0,5000.0,1538.4,3378.2,5000.0,5000.0
hitag2-8-60-0-0xfba1a41b5dfd7f7-52.cnf,0ab64eaff80e0a5514ff8980890265d0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4153.92,5000.0,5000.0,5000.0,5000.0,5000.0,4109.92,3809.87,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
slp-synthesis-aes-top26.cnf,7ecd2f8efd83504268f0a96fa44f6fe7,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3759.31,5000.0,5000.0,5000.0,5000.0,3692.94,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
slp-synthesis-aes-bottom14.cnf,7af4cc1b94644f101ccf5f2373fdbfea,621.92,1635.25,5000.0,5000.0,5000.0,204.483,919.419,2628.31,5000.0,5000.0,5000.0,1220.43,916.982,5000.0,5000.0,1749.3,510.403,5000.0,5000.0,4175.93,4151.63,5000.0,5000.0,5000.0,2313.88,2629.95,5000.0,716.12,1162.59
