#t lex rand randsort randsortdesc randw randwnoh 
0 307818.711432 206607.15891 195599.17406 489232.220705 208030.66116 129301.9395
1 615637.422864 413214.31782 391198.34812 978464.44141 416061.32232 258603.879
2 923456.134296 619821.47673 586797.52218 1467696.66211 624091.98348 387905.8185
3 1231274.84573 826428.63564 782396.69624 1956928.88282 832122.64464 517207.758
4 1539093.55716 1033035.79455 977995.8703 2446161.10352 1040153.3058 646509.6975
5 1846912.26859 1239642.95346 1173595.04436 2935393.32423 1248183.96696 775811.637
6 2154730.98002 1446250.11237 1369194.21842 3424625.54493 1456214.62812 905113.5765
7 2462549.69146 1652857.27128 1564793.39248 3913857.76564 1664245.28928 1034415.516
8 2770368.40289 1859464.43019 1760392.56654 4403089.98634 1872275.95044 1163717.4555
9 3078187.11432 2066071.5891 1955991.7406 4892322.20705 2080306.6116 1293019.395
10 3386005.82575 2272678.74801 2151590.91466 5381554.42775 2288337.27276 1422321.3345
11 3693824.53718 2479285.90692 2347190.08872 5870786.64846 2496367.93392 1551623.274
12 4001643.24862 2685893.06583 2542789.26278 6360018.86916 2704398.59508 1680925.2135
13 4309461.96005 2892500.22474 2738388.43684 6849251.08987 2912429.25624 1810227.153
14 4617280.67148 3099107.38365 2933987.6109 7338483.31057 3120459.9174 1939529.0925
15 4925099.38291 3305714.54256 3129586.78496 7827715.53128 3328490.57856 2068831.032
16 5232918.09434 3512321.70147 3325185.95902 8316947.75198 3536521.23972 2198132.9715
17 5540736.80578 3718928.86038 3520785.13308 8806179.97269 3744551.90088 2327434.911
18 5848555.51721 3925536.01929 3716384.30714 9295412.19339 3952582.56204 2456736.8505
19 6156374.22864 4132143.1782 3911983.4812 9784644.4141 4160613.2232 2586038.79
20 6464192.94007 4338750.33711 4107582.65526 10273876.6348 4368643.88436 2715340.7295
21 6772011.6515 4545357.49602 4303181.82932 10763108.8555 4576674.54552 2844642.669
22 7079830.36294 4751964.65493 4498781.00338 11252341.0762 4784705.20668 2973944.6085
