#t lex rand randsort randsortdesc randw randwnoh 
0 152898.810381 76552.7837155 110953.290025 101852.176915 91102.703915 39920.1465815
1 305797.620762 153105.567431 221906.58005 203704.35383 182205.40783 79840.293163
2 458696.431143 229658.351147 332859.870075 305556.530745 273308.111745 119760.439745
3 611595.241524 306211.134862 443813.1601 407408.70766 364410.81566 159680.586326
4 764494.051905 382763.918578 554766.450125 509260.884575 455513.519575 199600.732908
5 917392.862286 459316.702293 665719.74015 611113.06149 546616.22349 239520.879489
6 1070291.67267 535869.486009 776673.030175 712965.238405 637718.927405 279441.026071
7 1223190.48305 612422.269724 887626.3202 814817.41532 728821.63132 319361.172652
8 1376089.29343 688975.05344 998579.610225 916669.592235 819924.335235 359281.319234
9 1528988.10381 765527.837155 1109532.90025 1018521.76915 911027.03915 399201.465815
10 1681886.91419 842080.620871 1220486.19027 1120373.94606 1002129.74306 439121.612397
11 1834785.72457 918633.404586 1331439.4803 1222226.12298 1093232.44698 479041.758978
12 1987684.53495 995186.188302 1442392.77032 1324078.29989 1184335.15089 518961.90556
13 2140583.34533 1071738.97202 1553346.06035 1425930.47681 1275437.85481 558882.052141
14 2293482.15572 1148291.75573 1664299.35037 1527782.65372 1366540.55872 598802.198723
15 2446380.9661 1224844.53945 1775252.6404 1629634.83064 1457643.26264 638722.345304
16 2599279.77648 1301397.32316 1886205.93042 1731487.00755 1548745.96655 678642.491886
17 2752178.58686 1377950.10688 1997159.22045 1833339.18447 1639848.67047 718562.638467
18 2905077.39724 1454502.89059 2108112.51047 1935191.36138 1730951.37438 758482.785049
19 3057976.20762 1531055.67431 2219065.8005 2037043.5383 1822054.0783 798402.93163
20 3210875.018 1607608.45803 2330019.09052 2138895.71521 1913156.78221 838323.078212
21 3363773.82838 1684161.24174 2440972.38055 2240747.89213 2004259.48613 878243.224793
22 3516672.63876 1760714.02546 2551925.67057 2342600.06904 2095362.19004 918163.371375
23 3669571.44914 1837266.80917 2662878.9606 2444452.24596 2186464.89396 958083.517956
24 3822470.25953 1913819.59289 2773832.25062 2546304.42287 2277567.59787 998003.664538
25 3975369.06991 1990372.3766 2884785.54065 2648156.59979 2368670.30179 1037923.81112
26 4128267.88029 2066925.16032 2995738.83067 2750008.7767 2459773.0057 1077843.9577
27 4281166.69067 2143477.94403 3106692.1207 2851860.95362 2550875.70962 1117764.10428
28 4434065.50105 2220030.72775 3217645.41072 2953713.13053 2641978.41353 1157684.25086
29 4586964.31143 2296583.51147 3328598.70075 3055565.30745 2733081.11745 1197604.39745
30 4739863.12181 2373136.29518 3439551.99077 3157417.48436 2824183.82136 1237524.54403
31 4892761.93219 2449689.0789 3550505.2808 3259269.66128 2915286.52528 1277444.69061
32 5045660.74257 2526241.86261 3661458.57082 3361121.83819 3006389.22919 1317364.83719
33 5198559.55295 2602794.64633 3772411.86085 3462974.01511 3097491.93311 1357284.98377
34 5351458.36334 2679347.43004 3883365.15087 3564826.19202 3188594.63702 1397205.13035
35 5504357.17372 2755900.21376 3994318.4409 3666678.36894 3279697.34094 1437125.27693
36 5657255.9841 2832452.99747 4105271.73092 3768530.54585 3370800.04485 1477045.42352
37 5810154.79448 2909005.78119 4216225.02095 3870382.72277 3461902.74877 1516965.5701
38 5963053.60486 2985558.5649 4327178.31097 3972234.89968 3553005.45268 1556885.71668
39 6115952.41524 3062111.34862 4438131.601 4074087.0766 3644108.1566 1596805.86326
40 6268851.22562 3138664.13234 4549084.89102 4175939.25351 3735210.86051 1636726.00984
41 6421750.036 3215216.91605 4660038.18105 4277791.43043 3826313.56443 1676646.15642
42 6574648.84638 3291769.69977 4770991.47107 4379643.60734 3917416.26834 1716566.303
43 6727547.65676 3368322.48348 4881944.7611 4481495.78426 4008518.97226 1756486.44959
44 6880446.46715 3444875.2672 4992898.05112 4583347.96117 4099621.67617 1796406.59617
45 7033345.27753 3521428.05091 5103851.34115 4685200.13809 4190724.38009 1836326.74275
46 7186244.08791 3597980.83463 5214804.63117 4787052.315 4281827.084 1876246.88933
47 7339142.89829 3674533.61834 5325757.9212 4888904.49192 4372929.78792 1916167.03591
48 7492041.70867 3751086.40206 5436711.21122 4990756.66883 4464032.49183 1956087.18249
49 7644940.51905 3827639.18578 5547664.50125 5092608.84575 4555135.19575 1996007.32908
50 7797839.32943 3904191.96949 5658617.79127 5194461.02266 4646237.89966 2035927.47566
51 7950738.13981 3980744.75321 5769571.0813 5296313.19958 4737340.60358 2075847.62224
52 8103636.95019 4057297.53692 5880524.37132 5398165.37649 4828443.30749 2115767.76882
53 8256535.76057 4133850.32064 5991477.66135 5500017.55341 4919546.01141 2155687.9154
54 8409434.57096 4210403.10435 6102430.95137 5601869.73032 5010648.71532 2195608.06198
55 8562333.38134 4286955.88807 6213384.2414 5703721.90724 5101751.41924 2235528.20856
56 8715232.19172 4363508.67178 6324337.53142 5805574.08415 5192854.12315 2275448.35515
57 8868131.0021 4440061.4555 6435290.82145 5907426.26107 5283956.82707 2315368.50173
58 9021029.81248 4516614.23921 6546244.11147 6009278.43798 5375059.53098 2355288.64831
59 9173928.62286 4593167.02293 6657197.4015 6111130.6149 5466162.2349 2395208.79489
60 9326827.43324 4669719.80665 6768150.69152 6212982.79181 5557264.93881 2435128.94147
61 9479726.24362 4746272.59036 6879103.98155 6314834.96873 5648367.64273 2475049.08805
62 9632625.054 4822825.37408 6990057.27157 6416687.14564 5739470.34664 2514969.23463
63 9785523.86438 4899378.15779 7101010.5616 6518539.32256 5830573.05056 2554889.38122
64 9938422.67477 4975930.94151 7211963.85162 6620391.49947 5921675.75447 2594809.5278
65 10091321.4851 5052483.72522 7322917.14165 6722243.67639 6012778.45839 2634729.67438
66 10244220.2955 5129036.50894 7433870.43167 6824095.8533 6103881.1623 2674649.82096
67 10397119.1059 5205589.29265 7544823.7217 6925948.03022 6194983.86622 2714569.96754
68 10550017.9163 5282142.07637 7655777.01172 7027800.20713 6286086.57013 2754490.11412
69 10702916.7267 5358694.86009 7766730.30175 7129652.38405 6377189.27405 2794410.26071
70 10855815.5371 5435247.6438 7877683.59177 7231504.56096 6468291.97796 2834330.40729
71 11008714.3474 5511800.42752 7988636.8818 7333356.73788 6559394.68188 2874250.55387
72 11161613.1578 5588353.21123 8099590.17182 7435208.91479 6650497.38579 2914170.70045
73 11314511.9682 5664905.99495 8210543.46185 7537061.09171 6741600.08971 2954090.84703
74 11467410.7786 5741458.77866 8321496.75187 7638913.26862 6832702.79362 2994010.99361
75 11620309.589 5818011.56238 8432450.0419 7740765.44554 6923805.49754 3033931.14019
76 11773208.3993 5894564.34609 8543403.33192 7842617.62245 7014908.20145 3073851.28678
77 11926107.2097 5971117.12981 8654356.62195 7944469.79937 7106010.90537 3113771.43336
