#t lex rand randsort randsortdesc randw randwnoh 
0 140478.577778 134153.98231 144651.0079 125059.417024 148411.099455 133594.722863
1 280957.155557 268307.964621 289302.0158 250118.834048 296822.198909 267189.445725
2 421435.733335 402461.946931 433953.0237 375178.251072 445233.298364 400784.168588
3 561914.311113 536615.929242 578604.0316 500237.668096 593644.397819 534378.89145
4 702392.888892 670769.911552 723255.0395 625297.08512 742055.497274 667973.614313
5 842871.46667 804923.893863 867906.0474 750356.502144 890466.596728 801568.337176
6 983350.044448 939077.876173 1012557.0553 875415.919168 1038877.69618 935163.060038
7 1123828.62223 1073231.85848 1157208.0632 1000475.33619 1187288.79564 1068757.7829
8 1264307.20001 1207385.84079 1301859.0711 1125534.75322 1335699.89509 1202352.50576
9 1404785.77778 1341539.8231 1446510.079 1250594.17024 1484110.99455 1335947.22863
10 1545264.35556 1475693.80542 1591161.0869 1375653.58726 1632522.094 1469541.95149
11 1685742.93334 1609847.78773 1735812.0948 1500713.00429 1780933.19346 1603136.67435
12 1826221.51112 1744001.77004 1880463.1027 1625772.42131 1929344.29291 1736731.39721
13 1966700.0889 1878155.75235 2025114.1106 1750831.83834 2077755.39237 1870326.12008
14 2107178.66668 2012309.73466 2169765.1185 1875891.25536 2226166.49182 2003920.84294
15 2247657.24445 2146463.71697 2314416.1264 2000950.67238 2374577.59128 2137515.5658
16 2388135.82223 2280617.69928 2459067.1343 2126010.08941 2522988.69073 2271110.28866
17 2528614.40001 2414771.68159 2603718.1422 2251069.50643 2671399.79019 2404705.01153
18 2669092.97779 2548925.6639 2748369.1501 2376128.92345 2819810.88964 2538299.73439
19 2809571.55557 2683079.64621 2893020.158 2501188.34048 2968221.98909 2671894.45725
20 2950050.13335 2817233.62852 3037671.1659 2626247.7575 3116633.08855 2805489.18011
21 3090528.71112 2951387.61083 3182322.1738 2751307.17453 3265044.188 2939083.90298
22 3231007.2889 3085541.59314 3326973.1817 2876366.59155 3413455.28746 3072678.62584
23 3371485.86668 3219695.57545 3471624.1896 3001426.00857 3561866.38691 3206273.3487
24 3511964.44446 3353849.55776 3616275.1975 3126485.4256 3710277.48637 3339868.07157
25 3652443.02224 3488003.54007 3760926.2054 3251544.84262 3858688.58582 3473462.79443
26 3792921.60002 3622157.52238 3905577.2133 3376604.25965 4007099.68528 3607057.51729
27 3933400.17779 3756311.50469 4050228.2212 3501663.67667 4155510.78473 3740652.24015
