Instance,MD5,SparrowToRiss,dk-SAT11,march_br,gluebit_clasp,clasp_vflip,GlucoRed,Solver43a,Solver43b,forl,strangenight,relback,gluH,ZENN,MIPSat,MIPSat,SAT4J,CSHCcombCS,gNovelty+GCa,gNovelty+GCwa,Riss3g (disqualified),satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,sattime2013,minipure,glucose,glueminisat,Riss3g,sattimeRelbackSeq,sattimeClasp,sattimeRelbackShr,RSeq (not competing)
sgen3-n240-s78945233-sat.cnf,1f90ac4288669aff970e47f4201b5ea4,82.1015,3182.2,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3.85241,3.77243,5000.0,473.02,3740.1,115.365,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,150.447,5000.0,5000.0,5000.0,5000.0,113.722,113.329,177.421,112.222
sgen3-n140-s18527668-sat.cnf,d6f66d406779966e0b3cbed9097980e3,0.464928,5.20621,1.92871,27.2349,0.304952,5000.0,122.1,2670.71,4718.84,692.27,148.971,75.9804,131.617,0.689894,0.659899,269.327,92.6919,0.938857,15.6486,450.062,36.3405,3524.6,286.716,287.771,377.95,190.07,0.301954,0.149976,244.509,2222.05,729.585,0.093985,0.094985,0.063989,0.094985
em_8_4_5_cmp.cnf,0b9eae71c375cb5515f5dd7953424584,441.949,5000.0,5000.0,16.5015,10.7134,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,499.508,493.432,5000.0,1437.36,5000.0,5000.0,5000.0,1006.3,5000.0,5000.0,5000.0,5000.0,5000.0,102.629,243.616,5000.0,5000.0,5000.0,5000.0,3713.51,1091.16,5000.0
em_7_4_9_fbc.cnf,4259362ee72589b1a94d1f5c9f846a0b,665.827,5000.0,5000.0,12.4171,13.9139,49.2835,0.84887,0.852869,7.36588,0.745886,5.38818,1.9937,5.08023,1.70074,1.67274,38.3822,430.873,320.457,8.67468,19.941,10.5334,14.0579,3.48847,2.74358,30.5324,8.93264,387.953,25.7991,17.7873,17.0744,3.13752,1418.43,1416.2,17.4773,1414.79
crafted_n11_d6_c3_num2.cnf,a1a2189de40edcfce8a894d40db1683a,5000.0,23.8354,5000.0,2180.54,5000.0,960.745,2661.34,2684.73,536.66,195.937,2046.19,2487.71,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,746.174,5000.0,2974.27,4467.31,1627.17,817.646,539.73,5000.0,5000.0,2790.95,892.27,1380.03,4520.93,5000.0,4589.6,4550.7
sgen1-sat-230-100.cnf,d3398dd8500ebb8513f455e4ea96b7e5,129.587,4079.19,5000.0,5000.0,378.649,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,12.0362,11.6532,5000.0,429.551,3502.93,974.512,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1.02684,4515.76,5000.0,5000.0,5000.0,14.2298,14.2478,43.9953,14.2128
hwb-n28-01-S136611085.shuffled-as.sat03-1627.cnf,17624c574c7f9ee0eff4cc4a13e42e12,5000.0,5000.0,2121.84,1273.28,1620.82,5000.0,5000.0,5000.0,5000.0,5000.0,3612.68,5000.0,3472.25,2450.87,2263.41,5000.0,1743.69,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,771.354,5000.0,870.79,5000.0,5000.0,5000.0,5000.0,3691.25,5000.0,5000.0
rbsat-v945c61409g7.cnf,cffaf116c6c0eb21439a109753d19c34,5.45517,125.015,2680.95,1164.42,27.6498,5000.0,1838.34,3725.35,602.888,3169.22,293.575,167.716,5000.0,68.0157,67.8347,5000.0,462.013,213.518,207.428,5000.0,3972.64,1719.62,65.541,65.649,5000.0,5000.0,1.39379,5000.0,2002.96,3507.27,534.853,3.21851,3.23551,17.1144,3.22151
hid-uns-enc-6-1-0-0-0-0-17599.cnf,a3ebaad33ad68fa06f01c4549d8b9124,975.917,5000.0,5000.0,1821.09,1390.39,825.159,1233.28,512.696,804.485,684.88,546.916,1014.8,952.186,1604.21,2476.7,5000.0,1536.53,5000.0,5000.0,626.011,1856.48,953.552,601.133,600.076,1730.58,5000.0,5000.0,2562.49,375.76,939.117,555.216,3035.81,3815.99,1188.4,2862.69
mod4block_2vars_10gates_u2_autoenc.cnf,a4aa05bad2a3138b013cb1793208898f,5000.0,5000.0,5000.0,3629.38,4325.25,2810.59,2687.49,2282.92,5000.0,5000.0,1040.14,5000.0,5000.0,5000.0,2330.35,1343.55,5000.0,5000.0,5000.0,3075.64,5000.0,4596.14,5000.0,5000.0,354.507,4428.35,5000.0,93.8157,2639.94,3235.73,5000.0,3543.02,5000.0,2901.64,4221.56
