Instance,MD5,Nigma-DRUP,Nigma-NoPB-DRUP,minisat_bit_u,forl,SAT4J Certified,forl,Lingeling,glucose,glueminisat-cert-unsat,Riss3g,minisat DRUP
smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,ee9a3768141236efcc4a858e8f92a7e9,5000.0,5000.0,5000.0,88.7505,5000.0,92.5389,1337.85,5000.0,5000.0,5000.0,5000.0
smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,a78f49949ed32c6f8eea9d5e428c909d,36.2155,34.6307,5.22221,483.709,5000.0,329.998,55.4756,7.49386,8.12277,7.99678,5.56215
hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,9059f458d76edcc4dc5681746a6de6e5,850.799,711.011,3637.67,540.228,5000.0,430.872,762.21,602.463,647.908,777.825,5000.0
hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,3fad4722cb319d6fee4192f2fe2c31ed,468.692,489.43,1867.77,178.046,5000.0,176.749,580.153,271.738,326.605,274.279,1368.79
hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin.cnf,a4c7dbdc89378b1335eea4904f9f5cb5,832.928,822.955,3551.09,283.584,5000.0,362.651,604.623,327.777,326.018,460.677,5000.0
hitag2-8-60-0-0xfba1a41b5dfd7f7-52.cnf,0ab64eaff80e0a5514ff8980890265d0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
slp-synthesis-aes-bottom14.cnf,7af4cc1b94644f101ccf5f2373fdbfea,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3137.45,4886.57,5000.0,5000.0
slp-synthesis-aes-bottom13.cnf,f3c2fb082f5fbc8fb1f714d6ee13929d,5000.0,215.979,469.723,5000.0,1349.54,5000.0,5000.0,298.734,683.834,3086.82,1974.96
9dlx_vliw_at_b_iq9.cnf,9a43349587a435e7109b46b3aceb156e,4636.5,5000.0,5000.0,3989.27,5000.0,3475.55,5000.0,2828.99,5000.0,3868.87,5000.0
arcfour_initialPermutation_5_32.cnf,1d1f96fc6fc32d1d0b2f857c1940751b,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
arcfour_initialPermutation_6_16.cnf,704e8012d8e15db1c118cecd8b08b401,2149.89,2125.13,1587.01,1967.35,4860.11,1833.96,1593.61,1791.41,1916.82,1795.7,1604.17
arcfour_initialPermutation_6_56.cnf,f1e490ffb40a86e205d06086b6cf434c,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
hitag2-8-60-0-0xdcdbc8bf368ee73-37.cnf,6a5255ba747fda42385aa05246a2e547,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
arcfour_initialPermutation_6_24.cnf,bed80a314b64134e49dd5961834beb4d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
beempgsol2b1.cnf,de7b5a6e3d1bd3b9bba95b9e04a1bea1,5000.0,5000.0,5000.0,108.882,5000.0,98.0111,5000.0,122.66,105.001,200.694,5000.0
hitag2-8-60-0-0xa3b8497b8aad6d7-42.cnf,b4ee341ad808f2644dcdfb00d944fc03,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
arcfour_initialPermutation_6_15.cnf,d6edfb3ba5831c9ea6c952175d4d4809,1069.91,1068.24,794.158,1005.28,2504.41,904.557,759.097,859.29,1048.03,994.024,802.742
arcfour_initialPermutation_6_40.cnf,31743001e16b6e164f0fd54bb1facb65,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
arcfour_initialPermutation_6_14.cnf,4ee0eadfdf7df4b199b4080bd84f9235,528.002,539.473,398.948,451.557,1240.78,438.15,379.42,520.81,524.67,528.669,400.545
arcfour_initialPermutation_6_64.cnf,a53911f9eecf57f3cc2e54a74a22ff99,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
dated-5-19-u.cnf,3be331331884289c55e55acdeed55dc7,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
bob12s04.cnf,a7bd06f6d475655b73ad1a8f15d9a566,3974.73,5000.0,554.397,5000.0,5000.0,5000.0,5000.0,976.641,635.119,929.999,649.116
hitag2-8-60-0-0xb2021557d918860-94.cnf,1b81e621ed8f53344c5cf5bcf85cb4de,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
maxor128.cnf,e050fe11c7c50ba82ac7126f49db3c10,4872.16,4439.86,5000.0,5000.0,5000.0,3619.82,5000.0,5000.0,5000.0,5000.0,5000.0
maxxor032.cnf,e1a6f3a7c69cc7fbec84aac478eb151a,826.005,371.544,4215.32,59.5949,5000.0,47.8367,662.894,166.08,172.151,267.716,5000.0
maxxor064.cnf,902b28046d424b16042ca612ddad48e0,5000.0,5000.0,5000.0,2032.07,5000.0,1172.51,5000.0,2770.03,989.594,2806.27,5000.0
6s103.cnf,cc9b5c12434644017aea4b04e2d88a8a,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
AProVE07-03.cnf,8c77a392a867268ecc0719c3f8c74f13,1594.41,1610.61,1366.86,1203.03,5000.0,986.636,436.855,198.987,394.578,216.18,1846.07
